"Timestamp","Which district you are from?","Gender","Age range ","Highest education qualification ","Occupation ","Monthly Income ","Do you have a savings / current account?","Does your bank provide online banking application services?","Do you own a smartphone that is capable of running mobile banking apps? ","Do you use a self-care mobile banking app? ","How many different bank accounts do you have?","How do you fulfill your banking needs? (you can select multiple answers)","When do you use bank counters? (you can select multiple answers)","When do you use ATM (you can select multiple answers)","How far you usually travel to access your bank / ATM","How often you use bank / ATM per week","Do you think ATM and bank counters are more secure than mobile banking applications?","Are the ATM and bank counters a faster way to do transactions than mobile applications?","Are you afraid that you might make any mistakes when doing payments and transactions via online banking applications?","Does the process of onboarding to the mobile baking application for the first time too much time-consuming?","Should the online banking application fee be reduced?","Should the banking application user experience be improved? ","Given the COVID19 Social Distancing and Lockdowns, Will you consider moving towards online banking applications?"
"2020/10/30 9:56:15 am GMT+5:30","Colombo","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","No","1","ATM;Bank website","I don't use bank counters","Money Withdrawal","Walking distance","1 - 3","Agree","Disagree","Neutral","Agree","Agree","Strongly Agree","Yes"
"2020/10/30 9:56:29 am GMT+5:30","Kurunegala","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:58:44 am GMT+5:30","Kurunegala","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 10:03:37 am GMT+5:30","Ampara","Female","25 - 45","Advance Level","Retired","15 000 - 50 000","Yes","Yes","Yes","No","1","Bank Counter;ATM","I don't use bank counters;Transfer / Deposit;Pay Utility Bills","Transfer / Deposit;Pay Utility Bills","Walking distance","1 - 3","Agree","Agree","Agree","Agree","Agree","Agree","Yes"
"2020/10/30 10:09:09 am GMT+5:30","Matara","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 10:10:33 am GMT+5:30","Puttalam","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 10:37:03 am GMT+5:30","Colombo","Male","16 - 25","Diploma / Bachelor's Degree","Student","Under 15 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 10:42:11 am GMT+5:30","Gampaha","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 10:50:03 am GMT+5:30","Colombo","Female","25 - 45","Master's / PHD","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 11:10:30 am GMT+5:30","Gampaha","Female","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 11:17:00 am GMT+5:30","Kandy","Female","16 - 25","Diploma / Bachelor's Degree","Lawyer","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 11:39:40 am GMT+5:30","Ampara","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 11:40:07 am GMT+5:30","Gampaha","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","No","3","ATM","I don't use bank counters","Money Withdrawal;Transfer / Deposit;Check the account status / balance","< 2 Km","1 - 3","Neutral","Disagree","Disagree","Disagree","Agree","Neutral","Maybe"
"2020/10/30 11:40:42 am GMT+5:30","Ampara","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 11:41:04 am GMT+5:30","Kurunegala","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 11:44:10 am GMT+5:30","Puttalam","Female","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","1","ATM","Money Withdrawal;Check the account status / balance","Money Withdrawal;Check the account status / balance","7 - 15 Km","1 - 3","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Yes"
"2020/10/30 11:45:11 am GMT+5:30","Nuwara Eliya","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","2","Bank Counter;ATM","Pay Utility Bills;Credit card payments / Loan payments","Money Withdrawal;Transfer / Deposit","7 - 15 Km","1 - 3","Strongly Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Yes"
"2020/10/30 11:46:40 am GMT+5:30","Badulla","Male","16 - 25","Diploma / Bachelor's Degree","Student","15 000 - 50 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 11:52:40 am GMT+5:30","Kurunegala","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","15 000 - 50 000","Yes","Yes","Yes","No","1","Bank Counter;ATM","Transfer / Deposit;Pay Utility Bills","Money Withdrawal;Transfer / Deposit","3 - 6 Km","1 - 3","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Yes"
"2020/10/30 11:55:01 am GMT+5:30","Ampara","Male","16 - 25","Advance Level","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 12:08:11 pm GMT+5:30","Kurunegala","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","15 000 - 50 000","No","Yes","Yes","No","2","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit;Pay Utility Bills;Check the account status / balance","Money Withdrawal;Transfer / Deposit;Check the account status / balance","< 2 Km","1 - 3","Agree","Disagree","Neutral","Neutral","Agree","Agree","Yes"
"2020/10/30 12:11:02 pm GMT+5:30","Vavuniya","Female","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","No","Yes","No","3","ATM","Pay Utility Bills","Money Withdrawal;Transfer / Deposit;Check the account status / balance","3 - 6 Km","6 - 10","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Yes"
"2020/10/30 12:13:14 pm GMT+5:30","Batticaloa","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","More than 3","ATM","I don't use bank counters","Money Withdrawal;Transfer / Deposit;Check the account status / balance","3 - 6 Km","1 - 3","Agree","Disagree","Disagree","Disagree","Agree","Agree","Yes"
"2020/10/30 12:15:56 pm GMT+5:30","Ampara","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 12:21:42 pm GMT+5:30","Kegalle","Male","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 12:22:27 pm GMT+5:30","Puttalam","Male","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","No","Yes","No","3","Bank Counter;ATM","Transfer / Deposit;Pay Utility Bills;Check the account status / balance","Money Withdrawal","Walking distance","1 - 3","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Maybe"
"2020/10/30 1:06:23 pm GMT+5:30","Kurunegala","Female","16 - 25","Advance Level","Student teacher trainee","Not Applicable","Yes","Yes","Yes","No","3","ATM","Transfer / Deposit","Money Withdrawal","< 2 Km","1 - 3","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Yes"
"2020/10/30 1:06:45 pm GMT+5:30","Kurunegala","Female","16 - 25","Advance Level","Student teacher trainee","Not Applicable","Yes","Yes","Yes","No","3","ATM","Transfer / Deposit","Money Withdrawal","< 2 Km","1 - 3","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Yes"
"2020/10/30 1:24:24 pm GMT+5:30","Colombo","Female","25 - 45","Diploma / Bachelor's Degree","Manager","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 1:45:35 pm GMT+5:30","Trincomalee","Female","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","2","ATM","I don't use bank counters;Money Withdrawal;Transfer / Deposit;Check the account status / balance","Money Withdrawal;Transfer / Deposit;Check the account status / balance","3 - 6 Km","1 - 3","Agree","Agree","Agree","Disagree","Agree","Agree","Yes"
